Delay -5C 15C 35C 55C
-4015.76897 0.000103 0.000228 1.1e-05 6.9e-05
-4014.76828 -1.4e-05 0.000336 9.3e-05 4.2e-05
-4013.76759 -1.3e-05 -8e-05 0.000105 5e-05
-4012.7669 7.5e-05 0.000209 0.000138 0.000197
-4011.76621 0.000128 0.000284 0.000239 6.7e-05
-4010.76552 0.000179 0.000214 0.000202 6.4e-05
-4009.76483 0.000141 0.000169 0.0001 9.9e-05
-4008.76414 0.000108 0.000131 0.000199 -1.9e-05
-4007.76345 0.00016 0.000106 0.000199 0.00015
-4006.76276 5.3e-05 0.000219 0.000138 0.000174
-4005.76207 4.5e-05 0.000303 6.6e-05 0.000145
-4004.76138 2.7e-05 0.000218 7.9e-05 0.000139
-4003.76069 0.000109 0.00027 0.000144 0.00023
-4002.76 0.000199 0.000384 0.000275 0.000204
-4001.75931 4.2e-05 0.000139 7.4e-05 0.000292
