Delay -5C 15C 35C 55C 70C
-4164.87178 2.1e-05 6.1e-05 -5.2e-05 7.3e-05 3.3e-05
-4163.87109 -5.6e-05 -0.000124 9e-06 -3.6e-05 -0.000102
-4162.8704 0.000109 -4.1e-05 -9.7e-05 -1.2e-05 -7.4e-05
-4161.86971 -0.000101 5e-06 8e-06 1.5e-05 -9.4e-05
-4160.86902 -4.9e-05 -0.00014 3e-06 5.9e-05 2.6e-05
-4159.86833 -3.9e-05 9.3e-05 2.4e-05 -0.000197 2.6e-05
-4158.86764 4.3e-05 -9.2e-05 0 -3.7e-05 -5.9e-05
-4157.86695 -0.000109 -9.6e-05 9.3e-05 -1.9e-05 2.6e-05
-4156.86626 8.2e-05 -5e-06 -2e-06 3.3e-05 -2.5e-05
-4155.86557 -5.3e-05 -2.5e-05 1.4e-05 6.1e-05 -4.9e-05
-4154.86488 8.9e-05 5.1e-05 4e-06 -5.3e-05 2.2e-05
-4153.86419 7.4e-05 1.8e-05 -6.9e-05 8.3e-05 -5.6e-05
-4152.8635 -0.000232 -0.000257 2e-06 0.000131 -5.4e-05
-4151.86281 0.000204 7e-06 -5.1e-05 -1.5e-05 -0.000131
-4150.86212 -2e-06 0.000113 -9.1e-05 -3e-06 -2.7e-05
-4149.86143 -4e-05 -0.000173 -1.7e-05 2.3e-05 -9.6e-05
-4148.86074 8e-05 2.1e-05 -5.9e-05 -9e-06 -4.5e-05
-4147.86005 -0.000164 -2.4e-05 -7.8e-05 -6.3e-05 -7.7e-05
-4146.85936 0.000103 -0.000283 5e-05 -1.5e-05 -4.1e-05
-4145.85867 0.000135 7.6e-05 1.1e-05 -0.000211 -0.000121
-4144.85798 -0.000277 -1.4e-05 -3.6e-05 0.000242 -9.3e-05
-4143.85729 0.000434 -0.000219 0 -1.6e-05 6.3e-05
-4142.8566 -8e-06 8e-05 9.8e-05 -2.8e-05 -0.000197
-4141.85591 -0.000219 -0.000184 -3.2e-05 6.9e-05 0.000106
-4140.85522 0.000418 -5.4e-05 -7.2e-05 -0.000145 -8.9e-05
-4139.85453 -0.000589 -4.1e-05 -7.9e-05 -0.000167 -0.000137
-4138.85384 6.2e-05 -0.000199 5.3e-05 -7.4e-05 1.4e-05
-4137.85315 0.000264 0.000207 -2.8e-05 -4.1e-05 -1.3e-05
-4136.85246 -0.000326 -7.3e-05 9e-06 8.7e-05 -4e-06
-4135.85177 0.000398 -0.000196 3.7e-05 -9.1e-05 0.000188
-4134.85108 -0.000413 0.000161 -4.2e-05 -0.000129 -0.000211
-4133.85039 2e-06 -0.000115 -1.7e-05 0.000127 8.2e-05
-4132.8497 0.000331 -1.9e-05 0.000134 -0.000232 -0.000208
-4131.84901 -0.000722 5.5e-05 -8.2e-05 -9e-05 -9.3e-05
